X,Y,Slice,DX,DY,Orientation,Coherency,Energy
31,34,0,-0.679,0.734,47.256,0.418,0.401
81,34,0,-0.728,0.685,43.247,0.363,0.395
131,34,0,-0.825,0.562,34.261,0.326,0.404
181,34,0,-0.910,0.413,24.393,0.358,0.431
231,34,0,-0.951,0.309,17.979,0.417,0.468
281,34,0,-0.971,0.237,13.711,0.465,0.519
331,34,0,-0.985,0.169,9.705,0.506,0.584
381,34,0,-0.995,0.100,5.720,0.544,0.648
431,34,0,-0.999,0.045,2.579,0.572,0.686
481,34,0,-1.000,0.018,1.024,0.587,0.685
531,34,0,-1.000,0.019,1.067,0.599,0.647
581,34,0,-0.999,0.034,1.923,0.611,0.600
631,34,0,-0.998,0.056,3.216,0.604,0.565
681,34,0,-0.995,0.094,5.397,0.569,0.544
731,34,0,-0.990,0.141,8.094,0.533,0.524
781,34,0,-0.987,0.158,9.112,0.513,0.502
831,34,0,-0.992,0.122,7.014,0.509,0.491
881,34,0,-0.998,0.055,3.161,0.508,0.504
931,34,0,-1.000,-0.009,-0.498,0.504,0.534
981,34,0,-0.999,-0.045,-2.566,0.500,0.561
1031,34,0,-0.999,-0.035,-2.033,0.495,0.576
1081,34,0,-1.000,0.010,0.551,0.492,0.577
1131,34,0,-0.999,0.051,2.920,0.500,0.559
1181,34,0,-0.998,0.058,3.318,0.521,0.531
1231,34,0,-0.999,0.040,2.320,0.543,0.501
1281,34,0,-1.000,0.027,1.573,0.547,0.457
1331,34,0,-0.999,0.029,1.671,0.516,0.398
1381,34,0,-0.999,0.034,1.966,0.455,0.348
1431,34,0,-1.000,0.027,1.546,0.398,0.322
1481,34,0,-1.000,0.015,0.882,0.385,0.312
1531,34,0,-1.000,0.020,1.161,0.417,0.308
1581,34,0,-0.999,0.035,1.983,0.455,0.313
1631,34,0,-0.999,0.042,2.389,0.476,0.324
1681,34,0,-0.999,0.034,1.956,0.479,0.329
1731,34,0,-1.000,0.017,0.988,0.459,0.323
1781,34,0,-1.000,0.006,0.347,0.419,0.318
