X,Y,Slice,DX,DY,Orientation,Coherency,Energy
37,30,0,-0.038,0.999,87.812,0.485,0.271
87,30,0,-0.022,1.000,88.744,0.466,0.303
137,30,0,-0.017,-0.608,-88.382,0.444,0.339
187,30,0,-0.080,-0.997,-85.411,0.435,0.360
237,30,0,-0.150,-0.988,-81.353,0.448,0.366
287,30,0,-0.200,-0.980,-78.483,0.470,0.370
337,30,0,-0.230,-0.973,-76.716,0.485,0.376
387,30,0,-0.256,-0.967,-75.139,0.492,0.373
437,30,0,-0.286,-0.958,-73.353,0.496,0.349
487,30,0,-0.320,-0.947,-71.350,0.488,0.313
537,30,0,-0.370,-0.929,-68.305,0.457,0.282
587,30,0,-0.451,-0.892,-63.178,0.435,0.275
637,30,0,-0.528,-0.849,-58.150,0.459,0.293
687,30,0,-0.566,-0.825,-55.559,0.498,0.318
737,30,0,-0.581,-0.814,-54.449,0.512,0.327
787,30,0,-0.599,-0.801,-53.184,0.495,0.323
837,30,0,-0.638,-0.770,-50.367,0.454,0.318
887,30,0,-0.702,-0.712,-45.421,0.408,0.316
937,30,0,-0.764,-0.645,-40.158,0.394,0.322
987,30,0,-0.788,-0.616,-38.043,0.415,0.340
1037,30,0,-0.775,-0.631,-39.147,0.440,0.364
1087,30,0,-0.754,-0.657,-41.063,0.454,0.389
1137,30,0,-0.745,-0.667,-41.803,0.451,0.411
1187,30,0,-0.760,-0.650,-40.558,0.416,0.424
1237,30,0,-0.794,-0.608,-37.472,0.342,0.422
1287,30,0,-0.835,-0.550,-33.381,0.249,0.414
1337,30,0,-0.869,-0.495,-29.649,0.170,0.416
1387,30,0,-0.899,-0.437,-25.929,0.120,0.434
1437,30,0,-0.950,-0.305,-17.783,0.091,0.454
1487,30,0,-0.989,0.045,2.632,0.080,0.460
1537,30,0,-0.905,0.418,24.806,0.127,0.455
1587,30,0,-0.845,0.534,32.261,0.215,0.465
1637,30,0,-0.843,0.538,32.533,0.304,0.502
1687,30,0,-0.859,0.511,30.745,0.377,0.555
1737,30,0,-0.877,0.480,28.689,0.436,0.605
1787,30,0,-0.887,0.461,27.473,0.480,0.642
1837,30,0,-0.879,0.477,28.462,0.499,0.662
