X,Y,Slice,DX,DY,Orientation,Coherency,Energy
41,39,0,-0.189,-0.982,-79.092,0.626,0.631
91,39,0,-0.251,-0.968,-75.457,0.601,0.644
141,39,0,-0.356,-0.934,-69.143,0.564,0.662
191,39,0,-0.492,-0.869,-60.467,0.546,0.693
241,39,0,-0.612,-0.790,-52.210,0.564,0.747
291,39,0,-0.684,-0.729,-46.811,0.588,0.793
341,39,0,-0.725,-0.688,-43.507,0.591,0.783
391,39,0,-0.753,-0.657,-41.106,0.576,0.723
441,39,0,-0.772,-0.635,-39.443,0.543,0.673
491,39,0,-0.780,-0.626,-38.744,0.486,0.675
541,39,0,-0.781,-0.625,-38.677,0.418,0.711
591,39,0,-0.783,-0.622,-38.489,0.378,0.730
641,39,0,-0.793,-0.609,-37.508,0.401,0.712
691,39,0,-0.810,-0.586,-35.877,0.482,0.679
741,39,0,-0.827,-0.563,-34.253,0.564,0.646
791,39,0,-0.840,-0.543,-32.900,0.603,0.618
841,39,0,-0.848,-0.530,-32.040,0.604,0.600
891,39,0,-0.849,-0.528,-31.862,0.590,0.601
941,39,0,-0.853,-0.522,-31.484,0.563,0.612
991,39,0,-0.873,-0.487,-29.145,0.509,0.611
1041,39,0,-0.920,-0.390,-23.005,0.430,0.592
1091,39,0,-0.976,-0.210,-12.141,0.368,0.574
1141,39,0,-0.998,-0.006,-0.363,0.370,0.573
1191,39,0,-0.992,0.122,7.011,0.420,0.594
1241,39,0,-0.982,0.187,10.800,0.470,0.637
1291,39,0,-0.973,0.229,13.270,0.502,0.682
1341,39,0,-0.968,0.252,14.570,0.513,0.703
1391,39,0,-0.969,0.245,14.186,0.506,0.705
1441,39,0,-0.974,0.228,13.179,0.497,0.714
1491,39,0,-0.972,0.234,13.554,0.493,0.738
1541,39,0,-0.963,0.268,15.536,0.467,0.752
1591,39,0,-0.946,0.325,18.951,0.403,0.738
1641,39,0,-0.901,0.432,25.616,0.329,0.706
1691,39,0,-0.809,0.585,35.864,0.318,0.672
1741,39,0,-0.725,0.688,43.498,0.400,0.644
1791,39,0,-0.687,0.726,46.576,0.516,0.641
1841,39,0,-0.674,0.739,47.655,0.598,0.669
1891,39,0,-0.672,0.741,47.814,0.623,0.699
1941,39,0,-0.683,0.731,46.957,0.607,0.696
1991,39,0,-0.702,0.712,45.374,0.573,0.645
2041,39,0,-0.714,0.700,44.403,0.531,0.568
2091,39,0,-0.703,0.711,45.343,0.498,0.513
2141,39,0,-0.675,0.737,47.506,0.482,0.492
2191,39,0,-0.649,0.761,49.539,0.469,0.482
2241,39,0,-0.622,0.783,51.512,0.436,0.478
2291,39,0,-0.587,0.810,54.079,0.395,0.499
2341,39,0,-0.547,0.837,56.828,0.374,0.551
2391,39,0,-0.511,0.860,59.293,0.378,0.607
2441,39,0,-0.453,0.891,63.072,0.397,0.637
2491,39,0,-0.365,0.930,68.559,0.441,0.647
2541,39,0,-0.292,0.956,73.044,0.513,0.667
2591,39,0,-0.254,0.967,75.294,0.575,0.695
2641,39,0,-0.228,0.974,76.804,0.601,0.702
2691,39,0,-0.185,0.983,79.344,0.599,0.682
2741,39,0,-0.112,0.993,83.583,0.606,0.664
2791,39,0,-0.035,0.920,87.831,0.643,0.674
2841,39,0,-0.014,-0.670,-88.795,0.687,0.710
2891,39,0,-0.030,-1.000,-88.292,0.707,0.742
2941,39,0,-0.033,-0.999,-88.115,0.703,0.749
2991,39,0,-0.027,-1.000,-88.469,0.684,0.722
3041,39,0,-0.019,-1.000,-88.891,0.658,0.667
3091,39,0,-0.022,-1.000,-88.757,0.625,0.603
3141,39,0,-0.031,-1.000,-88.218,0.597,0.554
3191,39,0,-0.037,-0.999,-87.854,0.588,0.527
3241,39,0,-0.043,-0.999,-87.542,0.599,0.519
3291,39,0,-0.059,-0.998,-86.623,0.615,0.523
3341,39,0,-0.093,-0.996,-84.665,0.619,0.538
3391,39,0,-0.144,-0.989,-81.721,0.611,0.553
3441,39,0,-0.199,-0.980,-78.520,0.601,0.558
3491,39,0,-0.237,-0.971,-76.266,0.587,0.548
3541,39,0,-0.242,-0.970,-75.998,0.552,0.535
3591,39,0,-0.209,-0.978,-77.964,0.505,0.528
3641,39,0,-0.172,-0.985,-80.066,0.480,0.511
3691,39,0,-0.194,-0.981,-78.817,0.489,0.468
3741,39,0,-0.271,-0.962,-74.269,0.530,0.412
3791,39,0,-0.335,-0.942,-70.398,0.595,0.370
3841,39,0,-0.350,-0.937,-69.494,0.656,0.357
3891,39,0,-0.336,-0.942,-70.341,0.692,0.376
3941,39,0,-0.318,-0.948,-71.435,0.692,0.414
3991,39,0,-0.301,-0.954,-72.471,0.658,0.452
4041,39,0,-0.279,-0.960,-73.816,0.594,0.480
4091,39,0,-0.235,-0.972,-76.415,0.510,0.509
4141,39,0,-0.160,-0.987,-80.791,0.443,0.548
4191,39,0,-0.086,-0.996,-85.051,0.425,0.580
4241,39,0,-0.056,-0.998,-86.791,0.434,0.573
4291,39,0,-0.075,-0.997,-85.687,0.439,0.527
4341,39,0,-0.139,-0.990,-81.992,0.445,0.477
4391,39,0,-0.226,-0.974,-76.949,0.486,0.449
4441,39,0,-0.291,-0.957,-73.095,0.563,0.437
4491,39,0,-0.315,-0.949,-71.652,0.628,0.426
4541,39,0,-0.303,-0.953,-72.371,0.649,0.414
4591,39,0,-0.276,-0.961,-73.954,0.635,0.414
4641,39,0,-0.273,-0.962,-74.177,0.609,0.431
4691,39,0,-0.319,-0.947,-71.385,0.588,0.448
4741,39,0,-0.415,-0.909,-65.492,0.577,0.440
4791,39,0,-0.535,-0.844,-57.598,0.578,0.411
4841,39,0,-0.651,-0.758,-49.308,0.589,0.381
4891,39,0,-0.743,-0.669,-41.985,0.602,0.373
4941,39,0,-0.804,-0.594,-36.463,0.619,0.398
4991,39,0,-0.841,-0.540,-32.691,0.640,0.437
5041,39,0,-0.869,-0.495,-29.697,0.657,0.466
5091,39,0,-0.893,-0.449,-26.703,0.664,0.476
5141,39,0,-0.914,-0.406,-23.973,0.654,0.474
5191,39,0,-0.925,-0.380,-22.315,0.627,0.478
5241,39,0,-0.929,-0.369,-21.643,0.601,0.505
5291,39,0,-0.935,-0.355,-20.823,0.604,0.552
5341,39,0,-0.942,-0.336,-19.617,0.634,0.593
5391,39,0,-0.946,-0.323,-18.826,0.669,0.601
5441,39,0,-0.947,-0.320,-18.665,0.693,0.579
5491,39,0,-0.947,-0.322,-18.788,0.701,0.545
5541,39,0,-0.944,-0.329,-19.229,0.698,0.513
5591,39,0,-0.938,-0.345,-20.200,0.691,0.485
5641,39,0,-0.930,-0.367,-21.513,0.679,0.468
5691,39,0,-0.925,-0.380,-22.361,0.657,0.463
5741,39,0,-0.930,-0.367,-21.551,0.629,0.456
5791,39,0,-0.947,-0.319,-18.623,0.611,0.440
5841,39,0,-0.966,-0.259,-14.988,0.615,0.425
5891,39,0,-0.976,-0.219,-12.653,0.632,0.425
5941,39,0,-0.978,-0.209,-12.051,0.649,0.444
5991,39,0,-0.976,-0.216,-12.463,0.663,0.481
6041,39,0,-0.974,-0.225,-12.977,0.670,0.529
6091,39,0,-0.974,-0.224,-12.963,0.663,0.562
6141,39,0,-0.978,-0.210,-12.133,0.637,0.558
6191,39,0,-0.983,-0.186,-10.698,0.598,0.524
6241,39,0,-0.986,-0.168,-9.688,0.559,0.487
6291,39,0,-0.986,-0.169,-9.721,0.516,0.464
6341,39,0,-0.986,-0.169,-9.724,0.481,0.449
6391,39,0,-0.989,-0.147,-8.451,0.475,0.437
6441,39,0,-0.994,-0.108,-6.223,0.488,0.427
6491,39,0,-0.997,-0.071,-4.063,0.486,0.426
6541,39,0,-0.998,-0.061,-3.506,0.467,0.445
6591,39,0,-0.994,-0.108,-6.178,0.458,0.481
6641,39,0,-0.979,-0.201,-11.580,0.475,0.516
6691,39,0,-0.954,-0.299,-17.406,0.517,0.542
6741,39,0,-0.930,-0.368,-21.577,0.562,0.555
6791,39,0,-0.914,-0.406,-23.956,0.585,0.552
6841,39,0,-0.900,-0.436,-25.861,0.578,0.536
6891,39,0,-0.883,-0.468,-27.938,0.557,0.518
6941,39,0,-0.874,-0.486,-29.095,0.533,0.505
6991,39,0,-0.882,-0.471,-28.122,0.486,0.495
